"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL372357";"";"None";"427.46";"0";"3.02";"130";"O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"18.72";"0.36";"4.98";"7.94";"0";"CHEMBL867032";"Inhibitory activity against HCV 1b NS5B RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus subtype 1b";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1148625";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";""
"CHEMBL192674";"";"None";"407.51";"1";"5.55";"61 (table 3)";"CCc1ccccc1Oc1ccc(/C=C(\NC(=O)CCC2CCCC2)C(=O)O)cc1";"IC50";"'='";"7100.0";"nM";"5.15";"";"";"UO_0000065";"12.63";"0.23";"-0.40";"6.81";"0";"CHEMBL827995";"Inhibitory concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1145278";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";""
"CHEMBL372060";"";"None";"367.79";"0";"4.46";"33";"O=C(O)/C(=C/c1ccc(-c2ccccc2Cl)o1)NC(=O)c1ccccc1";"IC50";"'='";"1300.0";"nM";"5.89";"";"";"UO_0000065";"16.00";"0.31";"1.43";"7.40";"0";"CHEMBL832697";"Inhibitory concentration against Hepatitis C virus NS5B polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1140265";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";""
"CHEMBL369397";"";"None";"526.59";"2";"5.72";"22";"COc1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)C(=O)O)c2c1";"IC50";"'='";"400.0";"nM";"6.40";"";"";"UO_0000065";"12.15";"0.22";"0.68";"5.23";"0";"CHEMBL750248";"Concentration required for inhibiting hepatitis C virus NS5B RNA polymerase activity.";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1149207";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";""
"CHEMBL205990";"";"None";"456.26";"0";"4.37";"A";"O=C(Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1)OCc1c(Cl)cccc1Cl";"IC50";"'='";"5390.0";"nM";"5.27";"";"";"UO_0000065";"11.55";"0.25";"0.90";"3.71";"0";"CHEMBL1268635";"Inhibition of NS5B P156L mutant-mediated RNA synthesis in Hepatitis C virus as decrease in formation of full-length product after 45 mins";"B";"BAO_0000019";"assay format";"Hepatitis C virus";"None";"None";"None";"None";"";"O39930";"P156L";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1255387";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";""
"CHEMBL205990";"";"None";"456.26";"0";"4.37";"A";"O=C(Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1)OCc1c(Cl)cccc1Cl";"IC50";"'='";"3780.0";"nM";"5.42";"";"";"UO_0000065";"11.88";"0.26";"1.05";"3.82";"0";"CHEMBL1268636";"Inhibition of NS5B G152E mutant-mediated RNA synthesis in Hepatitis C virus as decrease in formation of full-length product after 45 mins";"B";"BAO_0000019";"assay format";"Hepatitis C virus";"None";"None";"None";"None";"";"O39930";"G152E";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1255387";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";""
"CHEMBL205990";"";"None";"456.26";"0";"4.37";"A";"O=C(Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1)OCc1c(Cl)cccc1Cl";"IC50";"'='";"881.9";"nM";"6.05";"";"";"UO_0000065";"13.27";"0.29";"1.68";"4.27";"0";"CHEMBL1268647";"Displacement of 500 uM PPi from NS5B in Hepatitis C virus";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1255387";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";""
"CHEMBL177701";"";"None";"316.36";"0";"3.42";"24";"CCOC(=O)c1nc2cc(C(=O)O)ccc2n1C1CCCCC1";"IC50";"'='";"62000.0";"nM";"4.21";"";"";"UO_0000065";"13.30";"0.25";"0.79";"5.17";"0";"CHEMBL750250";"Inhibitory activity against NS5B polymerase of hepatitis C virus";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1149223";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";""
"CHEMBL185085";"";"None";"478.22";"0";"4.31";"26";"COC(=O)N(CCC(=O)O)C(=O)c1c(Br)ccc2c(C(F)(F)F)c(OC)ccc12";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL829418";"Inhibitory concentration against HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1137155";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";""
"CHEMBL16281";"";"None";"178.19";"0";"1.27";"11";"O=C(O)C(=O)CCc1ccccc1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL768322";"Inhibitory activity against Hepatitis C virus RNA dependent RNA polymerase nonstructural protein 5B";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1139456";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";""
"CHEMBL559638";"";"None";"411.26";"0";"3.81";"1";"O=C1c2cccc3c(NCCO)ccc(c23)C(=O)N1c1cccc(Br)c1";"IC50";"'='";"78.0";"nM";"7.11";"";"";"UO_0000065";"17.28";"0.37";"3.30";"10.21";"0";"CHEMBL1053025";"Inhibition of HCV1b BK NS5B Cdelta21 RNA dependent RNA polymerase Palm site 1 and 2 M414T mutant";"B";"BAO_0000019";"assay format";"Hepatitis C virus (isolate BK)";"None";"None";"None";"None";"";"O39930";"M414T";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1151959";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";""
"CHEMBL190146";"";"None";"494.04";"1";"5.48";"16";"CN1CCN(C(=O)Cn2c(-c3ccc(Cl)cc3)c(C3CCCCC3)c3ccc(C(=O)O)cc32)CC1";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"16.03";"0.31";"2.44";"12.04";"0";"CHEMBL830123";"Inhibitory activity against by hepatitis C virus NS5B polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1140313";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";""
"CHEMBL372433";"";"None";"536.12";"2";"6.51";"17";"CN1CCCC(CN(C)C(=O)Cn2c(-c3ccc(Cl)cc3)c(C3CCCCC3)c3ccc(C(=O)O)cc32)C1";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"14.77";"0.28";"1.41";"12.04";"0";"CHEMBL830123";"Inhibitory activity against by hepatitis C virus NS5B polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1140313";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";""
"CHEMBL175177";"";"None";"310.35";"0";"4.50";"4A";"O=C(O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1";"IC50";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"19.20";"0.35";"1.46";"8.73";"0";"CHEMBL862448";"Inhibition of HCV 1b NS5B delta21 RNA dependent RNA polymerase by SPA";"B";"BAO_0000357";"single protein format";"Hepatitis C virus subtype 1b";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1146881";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL214031";"";"None";"320.39";"0";"4.98";"6B";"O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccn3)[nH]c2c1";"IC50";"'='";"230.0";"nM";"6.64";"";"";"UO_0000065";"20.72";"0.38";"1.66";"10.06";"0";"CHEMBL862448";"Inhibition of HCV 1b NS5B delta21 RNA dependent RNA polymerase by SPA";"B";"BAO_0000357";"single protein format";"Hepatitis C virus subtype 1b";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1146881";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL215329";"";"None";"323.39";"1";"5.41";"4D";"Cc1c(-c2ccoc2)n(C2CCCCC2)c2ccc(C(=O)O)cc12";"IC50";"'='";"44.0";"nM";"7.36";"";"";"UO_0000065";"22.75";"0.42";"1.95";"13.29";"0";"CHEMBL862448";"Inhibition of HCV 1b NS5B delta21 RNA dependent RNA polymerase by SPA";"B";"BAO_0000357";"single protein format";"Hepatitis C virus subtype 1b";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1146881";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL216000";"";"None";"309.37";"1";"5.17";"4B";"O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccoc3)[nH]c2c1";"IC50";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"24.32";"0.45";"2.35";"11.36";"0";"CHEMBL862448";"Inhibition of HCV 1b NS5B delta21 RNA dependent RNA polymerase by SPA";"B";"BAO_0000357";"single protein format";"Hepatitis C virus subtype 1b";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1146881";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL216032";"";"None";"353.37";"0";"4.49";"18";"Cn1c(-c2ccoc2)c(C2CCCC2)c2ccc(C(=O)O)c(C(=O)O)c21";"IC50";"'='";"5300.0";"nM";"5.28";"";"";"UO_0000065";"14.93";"0.28";"0.79";"5.69";"0";"CHEMBL862448";"Inhibition of HCV 1b NS5B delta21 RNA dependent RNA polymerase by SPA";"B";"BAO_0000357";"single protein format";"Hepatitis C virus subtype 1b";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1146881";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL213027";"";"None";"320.39";"0";"4.93";"10a";"O=C(O)c1c[nH]c2c(C3CCCCC3)c(-c3ccccc3)nc-2c1";"IC50";"'='";"1900.0";"nM";"5.72";"";"";"UO_0000065";"17.86";"0.33";"0.79";"8.67";"0";"CHEMBL870300";"Inhibition of HCV BK NS5B deltaC55 RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus (isolate BK)";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1146030";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
