"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL601935";"";"None";"298.39";"0";"1.57";"12";"Cc1cnccc1-c1cnc(N)c(N2CCCN(C)CC2)n1";"IC50";"'='";"120000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1074822";"Inhibition of human recombinant ROCK1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157736";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";""
"CHEMBL590313";"";"None";"323.40";"0";"1.74";"17";"CN1CCCN(c2nc(-c3ccc4[nH]ncc4c3)cnc2N)CC1";"IC50";"'='";"2300.0";"nM";"5.64";"";"";"UO_0000065";"17.43";"0.32";"3.90";"6.48";"0";"CHEMBL1074822";"Inhibition of human recombinant ROCK1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157736";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";""
"CHEMBL602326";"";"None";"324.43";"0";"2.07";"30";"NC1CCN(c2nc(-c3ccncc3)cnc2N2CCCC2)CC1";"IC50";"'='";"290.0";"nM";"6.54";"";"";"UO_0000065";"20.15";"0.37";"4.47";"9.19";"0";"CHEMBL1074822";"Inhibition of human recombinant ROCK1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157736";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";""
"CHEMBL520308";"";"None";"345.42";"0";"2.15";"16";"Cc1cc2c(-c3ccc(S(=O)(=O)N(C)CCO)cc3)ccnc2[nH]1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL983956";"Inhibition of human recombinant ROCK1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138461";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";""
"CHEMBL519965";"";"None";"373.44";"0";"0.49";"12";"NCCNS(=O)(=O)c1ccc(-c2ccnc3[nH]c(CC(N)=O)cc23)cc1";"IC50";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"13.39";"0.26";"4.51";"3.47";"0";"CHEMBL983956";"Inhibition of human recombinant ROCK1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138461";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";""
"CHEMBL1922129";"";"None";"417.51";"0";"3.53";"42, SR6781";"COc1cccc(CNC(=O)c2cn(CCN(C)C)c3cc(-c4cn[nH]c4)ccc23)c1";"IC50";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"19.88";"0.37";"4.77";"11.04";"0";"CHEMBL1924422";"Inhibition of ROCK1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1921670";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";""
"CHEMBL1086078";"";"None";"289.79";"0";"4.36";"7";"CNc1nccc(-c2sc3ccc(Cl)cc3c2C)n1";"IC50";"'='";"1200.0";"nM";"5.92";"";"";"UO_0000065";"20.43";"0.43";"1.56";"15.66";"0";"CHEMBL1117720";"Inhibition of ROCK1 assessed as ATP cunsumption";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155477";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";""
"CHEMBL1085706";"";"None";"317.42";"0";"4.92";"19";"Cc1c(-c2ccnc(N)n2)sc2ccc(-c3ccccc3)cc12";"IC50";"'='";"4200.0";"nM";"5.38";"";"";"UO_0000065";"16.94";"0.32";"0.46";"10.38";"0";"CHEMBL1117720";"Inhibition of ROCK1 assessed as ATP cunsumption";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155477";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";""
"CHEMBL1083352";"";"None";"346.46";"0";"4.30";"rac-35";"Cc1c(-c2ccnc(N)n2)sc2ccc(C(N)c3ccccc3)cc12";"IC50";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"22.22";"0.42";"3.40";"9.89";"0";"CHEMBL1117720";"Inhibition of ROCK1 assessed as ATP cunsumption";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155477";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";""
"CHEMBL523586";"";"None";"473.37";"0";"4.49";"44";"NC[C@H](Cc1cccc(F)c1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1";"IC50";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"18.38";"0.41";"4.21";"10.38";"0";"CHEMBL959251";"Inhibition of ROCK1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153968";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";""
"CHEMBL520640";"";"None";"375.43";"0";"3.22";"18";"COc1ccc(C2=NC(C)C(C(=O)Nc3ccc4[nH]ncc4c3)=C(C)N2)cc1";"IC50";"'='";"863.0";"nM";"6.06";"";"";"UO_0000065";"16.15";"0.30";"2.84";"6.63";"0";"CHEMBL987092";"Inhibition of human recombinant ROCK1 kinase expressed in insect Sf9 cells by SPA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142520";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308860";"";""
"CHEMBL483401";"";"None";"495.35";"1";"5.41";"22";"CC1=C(C(=O)Nc2ccc3[nH]ncc3c2)C(c2ccc(Cl)cc2F)N=C(c2ccnc(Cl)c2)N1";"IC50";"'='";"4.0";"nM";"8.40";"";"";"UO_0000065";"16.95";"0.34";"2.99";"8.83";"0";"CHEMBL987092";"Inhibition of human recombinant ROCK1 kinase expressed in insect Sf9 cells by SPA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142520";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308860";"";""
"CHEMBL1643355";"";"None";"173.22";"0";"1.28";"17A";"NCc1ccc2c(N)nccc2c1";"IC50";"'='";"7762.47";"nM";"5.11";"";"";"UO_0000065";"29.50";"0.54";"3.83";"7.87";"0";"CHEMBL1647664";"Inhibition of ROCK-1 by Immobilized metal ion affinity-based fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641363";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";""
"CHEMBL1667979";"";"None";"258.32";"0";"2.03";"16D";"NC[C@@H]1CC[C@H](Oc2ccc3c(=O)[nH]ccc3c2)C1";"IC50";"'='";"81.28";"nM";"7.09";"";"";"UO_0000065";"27.45";"0.51";"5.06";"10.41";"0";"CHEMBL1670413";"Inhibition of ROCK1 by IMAP assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1667835";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";""
"CHEMBL1765732";"";"None";"428.50";"0";"3.04";"(S)-21b";"Nc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2CCC[C@H](C(=O)Nc3ccccc3)C2)n1";"IC50";"'='";"1995.26";"nM";"5.70";"";"";"UO_0000065";"13.30";"0.24";"2.66";"4.11";"0";"CHEMBL1768782";"Inhibition of ROCK1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1765070";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";""
"CHEMBL1765760";"";"None";"255.28";"0";"1.23";"12e";"CNc1cc(-c2ccc3c(N)n[nH]c3c2)nc(N)n1";"IC50";"'='";"7943.28";"nM";"5.10";"";"";"UO_0000065";"19.98";"0.37";"3.87";"4.30";"0";"CHEMBL1768782";"Inhibition of ROCK1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1765070";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";""
"CHEMBL1667976";"";"None";"244.29";"0";"1.79";"16A";"N[C@H]1CC[C@H](Oc2ccc3c(=O)[nH]ccc3c2)C1";"IC50";"'='";"229.09";"nM";"6.64";"";"";"UO_0000065";"27.18";"0.50";"4.85";"9.75";"0";"CHEMBL1670413";"Inhibition of ROCK1 by IMAP assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1667835";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";""
"CHEMBL1643571";"";"None";"243.31";"0";"1.95";"23B";"Nc1nccc2cc(O[C@@H]3CCCNC3)ccc12";"IC50";"'='";"1949.84";"nM";"5.71";"";"";"UO_0000065";"23.47";"0.43";"3.76";"9.49";"0";"CHEMBL1647664";"Inhibition of ROCK-1 by Immobilized metal ion affinity-based fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641363";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";""
"CHEMBL1667963";"";"None";"306.39";"0";"0.80";"3";"Nc1nccc2c(S(=O)(=O)N3CCCNCC3)cccc12";"IC50";"'='";"6918.31";"nM";"5.16";"";"";"UO_0000065";"16.84";"0.34";"4.36";"5.84";"0";"CHEMBL1670415";"Inhibition of ROCK1 in human THP cells assessed as inhibition of MCP1-induced cell migration";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"THP";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1667835";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";""
"CHEMBL3809584";"";"None";"540.60";"1";"4.54";"20";"CC1=C(C(=O)N(C)c2ccc3[nH]ncc3c2)C(c2ccc(F)c(C(=O)NCc3c(C)cccc3C)c2)NC(=O)N1";"IC50";"'='";"2100.0";"nM";"5.68";"";"";"UO_0000065";"10.50";"0.19";"1.14";"4.76";"0";"CHEMBL3811365";"Inhibition of ROCK1 (unknown origin) by ADP-Glo kinase assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3808388";"1";"Scientific Literature";"J Med Chem";"2016";"None";"";""
"CHEMBL1667969";"SAR-407899";"2.0";"244.29";"0";"1.66";"14C";"O=c1[nH]ccc2cc(OC3CCNCC3)ccc12";"IC50";"'='";"186.21";"nM";"6.73";"";"";"UO_0000065";"27.55";"0.51";"5.07";"12.44";"0";"CHEMBL1670413";"Inhibition of ROCK1 by IMAP assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1667835";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";""
